step,fourier_train_loss,fourier_test_loss,fourier_test_r2_plume,fourier_test_mae_plume,wno_train_loss,wno_test_loss,wno_test_r2_plume,wno_test_mae_plume,delta_r2_plume,delta_test_loss
170,0.6607553958892822,0.7051239609718323,0.4251776337623596,0.04761722683906555,0.7613864541053772,0.7705135941505432,0.2192939817905426,0.051801662892103195,-0.20588365197181702,-0.06538963317871094
180,0.6009215116500854,1.3213896751403809,-1.348298192024231,0.07097484916448593,0.6192795038223267,1.3799794912338257,-2.8355584144592285,0.08164841681718826,-1.4872602224349976,-0.058589816093444824
190,0.5237519145011902,0.9083508253097534,-0.6160260438919067,0.061412930488586426,0.5010735988616943,0.8355589509010315,-0.17284730076789856,0.05689927190542221,0.4431787431240082,0.07279187440872192
200,0.535820722579956,0.944981038570404,-0.33907759189605713,0.059287071228027344,0.5606571435928345,0.7085450291633606,0.4240383505821228,0.047788944095373154,0.7631159424781799,0.23643600940704346
210,0.6441500186920166,0.7213493585586548,0.30069106817245483,0.048192910850048065,0.70709228515625,0.8601313233375549,-0.3727777302265167,0.055856358259916306,-0.6734687983989716,-0.13878196477890015
220,0.5103790760040283,0.8975401520729065,-0.0025305920280516148,0.05531032010912895,0.5902831554412842,0.7245039343833923,0.44261202216148376,0.052075423300266266,0.4451426141895354,0.17303621768951416
230,0.5485422611236572,1.0040552616119385,-1.0290639400482178,0.06071329861879349,0.5574615001678467,0.944080650806427,-0.8475290536880493,0.05914556235074997,0.18153488636016846,0.059974610805511475
240,0.5100803375244141,0.6997057795524597,0.4000862240791321,0.04689488187432289,0.5020315647125244,0.8297039270401001,-0.26881319284439087,0.057948999106884,-0.668899416923523,-0.12999814748764038
250,0.5470502972602844,0.7259078621864319,0.22271990776062012,0.046633847057819366,0.5807049870491028,0.9530543684959412,-1.0057212114334106,0.05782536789774895,-1.2284411191940308,-0.22714650630950928
260,0.535778284072876,0.7664166688919067,0.24435317516326904,0.05241798236966133,0.5174851417541504,0.7924072742462158,-0.08577676117420197,0.05575212091207504,-0.330129936337471,-0.025990605354309082
270,0.6971619129180908,0.7607318758964539,0.010379650630056858,0.04928707331418991,0.7216498255729675,0.756350576877594,0.10332648456096649,0.05084647983312607,0.09294683393090963,0.004381299018859863
280,0.5198442339897156,0.8364250063896179,-0.042759817093610764,0.051756829023361206,0.4787869453430176,0.7600018382072449,0.19539879262447357,0.04908236116170883,0.23815860971808434,0.07642316818237305
290,0.47878044843673706,0.8711387515068054,-0.5917855501174927,0.05729255825281143,0.5223128795623779,0.792552649974823,-0.17547425627708435,0.051892828196287155,0.4163112938404083,0.07858610153198242
300,0.5226078033447266,0.8670101761817932,-0.1901370882987976,0.052072711288928986,0.4915767312049866,1.2754197120666504,-3.42561674118042,0.07436990737915039,-3.2354796528816223,-0.4084095358848572
310,0.5002976655960083,0.6677981615066528,0.46094679832458496,0.04415322095155716,0.4690435528755188,0.7536330819129944,0.10229970514774323,0.04914242774248123,-0.35864709317684174,-0.08583492040634155
320,0.5042012929916382,1.1327742338180542,-1.4028977155685425,0.06875298917293549,0.5184680223464966,0.9978011846542358,-1.1298072338104248,0.06152527779340744,0.2730904817581177,0.13497304916381836
